campaignId,jobId,attemptIdx,B_set,T_set,startedAt,endedAt,outcome,errorMessage,runFolder
"20260217_172501_8147","job_20260218_103704_1576","1","0","0","2026-02-18 10:37:19.221","2026-02-18 10:37:19.645","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260218_103704_1576\Attempt_001"
"20260217_172501_8147","job_20260218_103704_9705","1","0","0","2026-02-18 10:37:19.699","2026-02-18 10:37:20.126","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260218_103704_9705\Attempt_001"
"20260217_172501_8147","job_20260218_103704_9571","1","0","0","2026-02-18 10:37:20.181","2026-02-18 10:37:20.614","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260218_103704_9571\Attempt_001"
"20260217_172501_8147","job_20260218_103705_4853","1","0","0","2026-02-18 10:37:20.662","2026-02-18 10:37:21.089","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260218_103705_4853\Attempt_001"
"20260217_172501_8147","job_20260218_103705_8002","1","0","0","2026-02-18 10:37:21.117","2026-02-18 10:37:21.538","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260218_103705_8002\Attempt_001"
"20260217_172501_8147","job_20260218_103706_1418","1","0","0","2026-02-18 10:37:21.591","2026-02-18 10:37:22.016","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260218_103706_1418\Attempt_001"
"20260217_172501_8147","job_20260218_103707_4217","1","0","0","2026-02-18 10:37:22.047","2026-02-18 10:37:22.464","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260218_103707_4217\Attempt_001"
"20260217_172501_8147","job_20260218_103708_9157","1","0","0","2026-02-18 10:37:22.501","2026-02-18 10:37:22.918","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260218_103708_9157\Attempt_001"
"20260217_172501_8147","job_20260218_103708_7922","1","0","0","2026-02-18 10:37:22.949","2026-02-18 10:37:23.371","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260218_103708_7922\Attempt_001"
"20260217_172501_8147","job_20260218_103705_8002","2","0","0","2026-02-18 10:37:23.404","2026-02-18 10:37:23.850","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_002_job_20260218_103705_8002\Attempt_002"
