DateTime	A	1
30-Mar-2021 00:11:09	80.033	26.5
30-Mar-2021 00:11:14	79.952	27.9
30-Mar-2021 00:11:19	79.962	27.8
30-Mar-2021 00:11:24	80.022	26.5
30-Mar-2021 00:11:29	80.041	26.5
30-Mar-2021 00:11:34	79.97	27.8
30-Mar-2021 00:11:39	79.963	27.9
30-Mar-2021 00:11:44	79.967	27.9
30-Mar-2021 00:11:49	80.05	26.5
30-Mar-2021 00:11:54	80.048	26.3
30-Mar-2021 00:11:59	79.957	27.9
30-Mar-2021 00:12:04	79.963	27.9
30-Mar-2021 00:12:09	80.048	26.5
30-Mar-2021 00:12:14	80.041	26.6
30-Mar-2021 00:12:19	79.957	27.9
30-Mar-2021 00:12:24	79.97	27.8
30-Mar-2021 00:12:29	80.044	26.5
30-Mar-2021 00:12:34	80.039	26.6
30-Mar-2021 00:12:39	79.955	28
30-Mar-2021 00:12:44	79.964	27.9
30-Mar-2021 00:12:49	80.005	26.5
30-Mar-2021 00:12:54	80.05	26.4
30-Mar-2021 00:12:59	79.981	27.8
30-Mar-2021 00:13:04	79.959	27.9
30-Mar-2021 00:13:09	79.977	27.7
30-Mar-2021 00:13:14	80.053	26.3
30-Mar-2021 00:13:19	80.04	26.5
30-Mar-2021 00:13:24	79.958	27.9
30-Mar-2021 00:13:29	79.967	27.8
30-Mar-2021 00:13:34	80.055	26.3
30-Mar-2021 00:13:39	80.039	26.5
30-Mar-2021 00:13:44	79.953	27.9
30-Mar-2021 00:13:49	79.967	27.9
30-Mar-2021 00:13:54	80.041	26.5
30-Mar-2021 00:13:59	80.046	26.4
30-Mar-2021 00:14:04	79.963	27.9
30-Mar-2021 00:14:09	79.958	28
30-Mar-2021 00:14:14	79.971	27.9
30-Mar-2021 00:14:19	80.053	26.3
30-Mar-2021 00:14:24	79.997	27.8
30-Mar-2021 00:14:29	79.953	28
30-Mar-2021 00:14:34	79.97	27.9
30-Mar-2021 00:14:39	80.062	26.2
30-Mar-2021 00:14:44	80.05	26.1
30-Mar-2021 00:14:49	79.957	27.9
30-Mar-2021 00:14:54	79.959	28
30-Mar-2021 00:14:59	80.051	26.4
30-Mar-2021 00:15:04	80.049	26.3
30-Mar-2021 00:15:09	79.967	27.7
30-Mar-2021 00:15:14	79.96	28
30-Mar-2021 00:15:19	80.034	26.4
30-Mar-2021 00:15:24	80.049	26.3
30-Mar-2021 00:15:29	79.962	27.9
30-Mar-2021 00:15:34	79.944	28.3
30-Mar-2021 00:15:39	79.962	28
30-Mar-2021 00:15:44	80.053	26.4
30-Mar-2021 00:15:49	80.021	27.9
30-Mar-2021 00:15:54	79.953	28.1
30-Mar-2021 00:15:59	79.963	28.1
30-Mar-2021 00:16:04	80.064	26.2
30-Mar-2021 00:16:09	80.052	26.3
30-Mar-2021 00:16:14	79.956	28
30-Mar-2021 00:16:19	79.967	27.8
30-Mar-2021 00:16:24	80.053	26.3
30-Mar-2021 00:16:29	80.042	26.5
30-Mar-2021 00:16:34	79.94	28.2
30-Mar-2021 00:16:39	79.958	28.1
30-Mar-2021 00:16:44	80.02	26.7
30-Mar-2021 00:16:49	80.059	26.3
30-Mar-2021 00:16:54	79.963	28
30-Mar-2021 00:16:59	79.965	27.8
30-Mar-2021 00:17:04	79.966	28.1
30-Mar-2021 00:17:09	80.052	26.3
30-Mar-2021 00:17:14	80.041	26.4
30-Mar-2021 00:17:19	79.956	27.9
30-Mar-2021 00:17:24	79.963	28
30-Mar-2021 00:17:29	80.056	26.3
30-Mar-2021 00:17:34	80.05	26.3
30-Mar-2021 00:17:39	79.953	28
30-Mar-2021 00:17:44	79.959	28
30-Mar-2021 00:17:49	80.052	26.3
30-Mar-2021 00:17:54	80.05	26.3
30-Mar-2021 00:17:59	79.956	27.9
30-Mar-2021 00:18:04	79.955	28.1
30-Mar-2021 00:18:09	80.011	26.6
30-Mar-2021 00:18:14	80.053	26.4
30-Mar-2021 00:18:19	79.975	28
30-Mar-2021 00:18:24	79.957	28
30-Mar-2021 00:18:29	79.962	28.1
30-Mar-2021 00:18:34	80.064	26.2
30-Mar-2021 00:18:39	80.047	26.3
30-Mar-2021 00:18:44	79.961	27.8
30-Mar-2021 00:18:49	79.96	28
30-Mar-2021 00:18:54	80.051	26.5
30-Mar-2021 00:18:59	80.048	26.3
30-Mar-2021 00:19:04	79.958	27.9
30-Mar-2021 00:19:09	79.957	28
30-Mar-2021 00:19:14	80.023	26.6
30-Mar-2021 00:19:19	80.05	26.4
30-Mar-2021 00:19:24	79.963	27.9
30-Mar-2021 00:19:29	79.96	28
30-Mar-2021 00:19:34	79.977	27.8
30-Mar-2021 00:19:39	80.051	26.5
30-Mar-2021 00:19:44	80.038	26.5
30-Mar-2021 00:19:49	79.957	28
30-Mar-2021 00:19:54	79.97	27.9
30-Mar-2021 00:19:59	80.055	26.4
30-Mar-2021 00:20:04	80.046	26.4
30-Mar-2021 00:20:09	79.962	27.8
30-Mar-2021 00:20:14	79.959	28
30-Mar-2021 00:20:19	80.019	26.5
30-Mar-2021 00:20:24	80.058	26.3
30-Mar-2021 00:20:29	79.966	28
30-Mar-2021 00:20:34	79.953	28.1
30-Mar-2021 00:20:39	79.968	27.9
30-Mar-2021 00:20:44	80.067	26.2
30-Mar-2021 00:20:49	80.048	26.3
30-Mar-2021 00:20:54	79.956	27.8
30-Mar-2021 00:20:59	79.965	27.9
30-Mar-2021 00:21:04	80.054	26.4
30-Mar-2021 00:21:09	80.045	26.4
30-Mar-2021 00:21:14	79.955	27.9
30-Mar-2021 00:21:19	79.956	28.1
30-Mar-2021 00:21:24	80.028	26.5
30-Mar-2021 00:21:29	80.046	26.5
30-Mar-2021 00:21:34	79.966	27.9
30-Mar-2021 00:21:39	79.96	28
30-Mar-2021 00:21:44	79.967	28
30-Mar-2021 00:21:49	80.063	26.4
30-Mar-2021 00:21:54	80.048	26.3
30-Mar-2021 00:21:59	79.943	28.2
30-Mar-2021 00:22:04	79.967	27.9
30-Mar-2021 00:22:09	80.061	26.3
30-Mar-2021 00:22:14	80.055	26.3
30-Mar-2021 00:22:19	79.96	27.8
30-Mar-2021 00:22:24	79.962	28
30-Mar-2021 00:22:29	80.042	26.3
30-Mar-2021 00:22:34	80.048	26.4
30-Mar-2021 00:22:39	79.969	27.9
30-Mar-2021 00:22:44	79.965	27.8
30-Mar-2021 00:22:49	79.966	27.9
30-Mar-2021 00:22:54	80.057	26.3
30-Mar-2021 00:22:59	80.044	26.3
30-Mar-2021 00:23:04	79.946	28.2
30-Mar-2021 00:23:09	79.965	28
30-Mar-2021 00:23:14	80.065	26.1
30-Mar-2021 00:23:19	80.067	26
30-Mar-2021 00:23:24	79.948	28
30-Mar-2021 00:23:29	79.948	28.2
30-Mar-2021 00:23:34	80.037	26.2
30-Mar-2021 00:23:39	80.059	26.2
30-Mar-2021 00:23:44	79.957	27.9
30-Mar-2021 00:23:49	79.954	28.1
30-Mar-2021 00:23:54	79.966	27.9
30-Mar-2021 00:23:59	80.052	26.4
30-Mar-2021 00:24:04	80.04	26.4
30-Mar-2021 00:24:09	79.947	28.1
30-Mar-2021 00:24:14	79.956	28.1
30-Mar-2021 00:24:19	80.063	26.3
30-Mar-2021 00:24:24	80.05	26.4
30-Mar-2021 00:24:29	79.95	28
30-Mar-2021 00:24:34	79.967	27.8
30-Mar-2021 00:24:39	80.038	26.1
30-Mar-2021 00:24:44	80.068	26.1
30-Mar-2021 00:24:49	79.962	28
30-Mar-2021 00:24:54	79.952	28
30-Mar-2021 00:24:59	79.96	28.1
